Tiempo de Inicio,Tiempo de Fin,Duración,Valor Inicial,Valor Final
2024-09-09 12:04:00,2024-09-09 12:12:00,00:08:00,0.3709,0.3994
2024-09-09 12:14:00,2024-09-09 12:21:00,00:07:00,0.482,0.4736
2024-09-09 12:23:00,2024-09-09 12:55:00,00:32:00,0.3817,0.3694
2024-09-09 12:58:00,2024-09-09 13:02:00,00:04:00,0.0057,0.0057
2024-09-09 13:05:00,2024-09-09 13:05:00,00:00:00,0.6803,0.6803
2024-09-09 13:08:00,2024-09-09 13:08:00,00:00:00,0.563,0.563
2024-09-09 13:13:00,2024-09-09 13:15:00,00:02:00,0.3776,0.3797
2024-09-09 13:17:00,2024-09-09 13:34:00,00:17:00,0.4891,0.4669
2024-09-09 13:37:00,2024-09-09 14:04:00,00:27:00,0.3775,0.3601
2024-09-09 14:06:00,2024-09-09 14:09:00,00:03:00,0.2686,0.2686
2024-09-09 14:11:00,2024-09-09 14:37:00,00:26:00,0.3578,0.3357
2024-09-09 14:39:00,2024-09-09 14:39:00,00:00:00,0.279,0.279
2024-09-09 14:41:00,2024-09-09 15:42:00,01:01:00,0.3309,0.3013
2024-09-09 15:44:00,2024-09-09 15:46:00,00:02:00,0.2586,0.2586
2024-09-09 15:48:00,2024-09-09 15:59:00,00:11:00,0.309,0.3101
2024-09-09 16:01:00,2024-09-09 16:03:00,00:02:00,0.2735,0.2735
2024-09-09 16:05:00,2024-09-09 16:16:00,00:11:00,0.3119,0.3067
2024-09-09 16:19:00,2024-09-09 16:32:00,00:13:00,0.1808,0.1725
2024-09-09 16:35:00,2024-09-09 16:39:00,00:04:00,0.1729,0.1884
2024-09-09 16:41:00,2024-09-09 17:11:00,00:30:00,0.2938,0.274
2024-09-09 17:13:00,2024-09-09 17:25:00,00:12:00,0.3027,0.3023
2024-09-09 17:28:00,2024-09-09 17:47:00,00:19:00,0.1776,0.1776
2024-09-09 17:50:00,2024-09-09 18:33:00,00:43:00,0.3049,0.3032
2024-09-09 18:35:00,2024-09-09 18:35:00,00:00:00,0.2355,0.2355
2024-09-09 18:37:00,2024-09-09 18:43:00,00:06:00,0.2948,0.3012
2024-09-09 18:46:00,2024-09-09 19:05:00,00:19:00,0.1711,0.1787
2024-09-09 19:08:00,2024-09-09 19:08:00,00:00:00,0.2956,0.2956
2024-09-09 19:10:00,2024-09-09 19:13:00,00:03:00,0.2387,0.2387
2024-09-09 19:15:00,2024-09-09 19:27:00,00:12:00,0.3014,0.3018
2024-09-09 19:30:00,2024-09-09 20:22:00,00:52:00,0.3018,0.2878
2024-09-09 20:24:00,2024-09-09 20:41:00,00:17:00,0.1751,0.1798
2024-09-09 20:43:00,2024-09-09 21:00:00,00:17:00,0.2913,0.303
2024-09-09 21:03:00,2024-09-09 21:03:00,00:00:00,0.0324,0.0324
2024-09-09 21:07:00,2024-09-09 21:07:00,00:00:00,0.6214,0.6214
2024-09-09 21:14:00,2024-09-09 21:39:00,00:25:00,0.308,0.3031
2024-09-09 21:42:00,2024-09-09 22:11:00,00:29:00,0.1791,0.1854
2024-09-09 22:14:00,2024-09-09 23:18:00,01:04:00,0.3037,0.309
2024-09-09 23:21:00,2024-09-09 23:47:00,00:26:00,0.1762,0.1838
2024-09-09 23:49:00,2024-09-10 00:18:00,00:29:00,0.2914,0.3006
