Consumo_T,UTEM CIER DAVID-Mains_A (kWatts),UTEM CIER DAVID-Mains_B (kWatts),UTEM CIER DAVID-Mains_C (kWatts),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 1 (kWatts),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 2 (kWatts),UTEM CIER DAVID-Air Conditioner-AC Aula Magna  (kWatts),UTEM CIER DAVID-Air Conditioner-AC Aula Magna (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L1 (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L2 (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L3 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L1 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L2 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L3 (kWatts),UTEM CIER DAVID-Solar_Generation-Inversor (kWatts),UTEM CIER DAVID-Room_Multi-use Circuit-Contactos David (kWatts),UTEM CIER DAVID-Lights-Alumbrado (kWatts),UTEM CIER DAVID-Lights-Alumbrado Fotovoltaico (kWatts),UTEM CIER DAVID-Other-Circuit_15 (kWatts),UTEM CIER DAVID-Other-Circuit_16 (kWatts)
12.66,1.5015,1.8062,2.6259,0.0164,0.0071,3.0001,3.595,0.0312,0.0255,0.0083,0.0207,0.0,0.0025,0.0,0.0204,0.0033,0.0,0,0
11.43,1.346,1.6347,2.3582,0.0163,0.0071,2.7066,3.2504,0.031,0.0241,0.0083,0.0205,0.0,0.0021,0.0,0.0202,0.0033,0.0,0,0
0.22,0.0213,0.0093,0.0259,0.0166,0.0082,0.0127,0.0145,0.031,0.024,0.0083,0.0207,0.0,0.0021,0.0,0.0203,0.0033,0.0,0,0
0.22,0.0214,0.0093,0.0258,0.0166,0.0087,0.0127,0.0146,0.0311,0.0241,0.0083,0.021,0.0,0.0025,0.0,0.0205,0.0033,0.0,0,0
4.03,0.9541,0.3606,0.5593,0.5308,0.5487,0.5564,0.0149,0.0314,0.0242,0.0084,0.1685,0.102,0.0022,0.0,0.0203,0.0033,0.1486,0,0
21.91,5.503,1.811,2.8181,2.5824,2.7119,2.9717,0.0151,0.0317,0.0245,0.0092,1.438,0.5488,0.0098,0.0,0.6243,0.0033,0.8064,0,0
20.54,5.0845,1.793,2.7419,2.5655,2.688,2.8614,0.0152,0.0317,0.0244,0.0089,1.0907,0.5393,0.0088,0.0,0.2862,0.0033,0.7978,0,0
14.17,3.4562,1.7771,1.302,2.5528,2.6739,0.0122,0.0148,0.0318,0.0243,0.0089,0.892,0.5297,0.0017,0.0,0.0939,0.0033,0.7919,0,0
14.11,3.4468,1.7644,1.2919,2.5407,2.6618,0.0119,0.0148,0.0319,0.0245,0.0089,0.8948,0.5229,0.0024,0.0,0.0997,0.0033,0.7889,0,0
14.05,3.4317,1.7527,1.2929,2.5263,2.6513,0.012,0.0149,0.0319,0.0245,0.0089,0.8944,0.5182,0.0025,0.0,0.1031,0.0033,0.7851,0,0
13.81,3.358,1.739,1.2819,2.5037,2.6268,0.0121,0.0149,0.032,0.0251,0.0089,0.8454,0.5163,0.0022,0.0,0.057,0.0033,0.7846,0,0
13.55,3.2798,1.7192,1.2641,2.471,2.5877,0.0123,0.0149,0.0321,0.0263,0.0089,0.8041,0.5146,0.0031,0.0,0.0225,0.0033,0.7832,0,0
