fecha,Potencia_activa_Total,Potencia_aparente_Total,Potencia_reactiva
2024-09-23_11-36-09.8,0.0397720634937286,0.0410167537629604,0.05713310007167916
2024-09-23_11-36-10.6,0.0397720634937286,0.0410167537629604,0.05713310007167916
2024-09-23_11-36-11.4,0.0395892933011055,0.0407253839075565,0.05679673439995313
2024-09-23_11-36-12.2,0.0397316217422485,0.0409408658742904,0.05705047120581695
2024-09-23_11-36-13.9,0.0398616716265678,0.0410376787185668,0.057210522978492606
2024-09-23_11-36-14.7,0.0398616716265678,0.0410376787185668,0.057210522978492606
2024-09-23_11-36-15.5,0.039526917040348,0.0407293401658535,0.05675611263168365
2024-09-23_11-36-16.3,0.039076168090105,0.040115725249052,0.05600194929521265
2024-09-23_11-36-17.1,0.0395529456436634,0.0407198704779148,0.056767449835524134
2024-09-23_11-36-17.9,0.0393916741013526,0.0405495278537273,0.05653289482829779
2024-09-23_11-36-19.6,0.039413895457983,0.0406054630875587,0.056588504024473955
2024-09-23_11-36-20.4,0.0396421626210212,0.0408569537103176,0.05692795204254695
2024-09-23_11-36-21.2,0.0396325588226318,0.0408757477998733,0.05693475631833526
2024-09-23_11-36-22,0.0396989844739437,0.040889699012041,0.056991024324517366
2024-09-23_11-36-22.8,0.0395566225051879,0.04072105884552,0.05677086416039693
2024-09-23_11-36-24.5,0.0396945923566818,0.040853701531887,0.05696214173659245
2024-09-23_11-36-25.3,0.0397502593696117,0.0409073457121849,0.05703940789636245
2024-09-23_11-36-26.1,0.0396827198565006,0.0408888570964336,0.056979091690391795
2024-09-23_11-36-26.9,0.0393535457551479,0.0404947474598884,0.056467035829257564
2024-09-23_11-36-27.7,0.0393535457551479,0.0405219756066799,0.05648656539895907
2024-09-23_11-36-28.5,0.0393985249102115,0.0405219756066799,0.05651791107400306
2024-09-23_11-36-30.2,0.03945754468441,0.0406068079173564,0.056619878856805146
2024-09-23_11-36-31,0.0395079255104064,0.0406590066850185,0.05669242456226581
2024-09-23_11-36-31.8,0.0396172292530536,0.0408203713595867,0.05688433502840279
2024-09-23_11-36-32.6,0.0396172292530536,0.0408203713595867,0.05688433502840279
2024-09-23_11-36-33.4,0.0396206825971603,0.0408009029924869,0.05687277181980185
2024-09-23_11-36-34.2,0.0396247208118438,0.0408023744821548,0.05687664074818909
2024-09-23_11-36-35.9,0.0395195633172988,0.0406878627836704,0.056721231145778025
