Consumo_T,Aula Medios,Cubiculos ,Direccion 1,Direccion 2 ,Rack,Sala Juntas,Maestros 1,Maestros 2,L1,L2 ,L3 
4.081,0.0122,0,0.0213,0.0245,0.3778,0.1063,0.0041,2.8921,0.1285,0.0721,0.4421
4.3262,0.0121,0,0.0212,0.0249,0.3801,0.1064,0.0051,2.8815,0.128,0.0726,0.6943
4.1383,0.0121,0,0.0212,0.0248,0.382,0.1057,0.0043,2.8848,0.1276,0.0746,0.5012
3.8296,0.0111,0,0.021,0.0248,0.3827,0.1058,0.0031,2.8673,0.1274,0.0751,0.2113
3.8335,0.0123,0,0.0211,0.0248,0.3799,0.1062,0.0036,2.8711,0.1274,0.0763,0.2108
3.8721,0.012,0,0.0208,0.0245,0.3869,0.1062,0.0039,2.9028,0.1271,0.0765,0.2114
3.8569,0.0119,0,0.0211,0.0248,0.3844,0.1063,0.0036,2.8902,0.1268,0.0768,0.211
3.8556,0.0122,0,0.0211,0.0245,0.3839,0.1063,0.0034,2.891,0.1263,0.0758,0.2111
3.9273,0.0116,0,0.0219,0.0248,0.4629,0.1064,0.0022,2.882,0.1262,0.0779,0.2114
3.9556,0.0121,0,0.0216,0.025,0.4848,0.1066,0.0034,2.8809,0.126,0.0841,0.2111
3.9415,0.0117,0,0.0225,0.0245,0.4824,0.1063,0.0037,2.8774,0.1259,0.0763,0.2108
3.9298,0.0122,0,0.022,0.0248,0.477,0.1061,0.0028,2.8778,0.1253,0.0716,0.2102
3.9294,0.0119,0,0.0223,0.0248,0.4803,0.1061,0.0039,2.8704,0.1251,0.0732,0.2114
3.9165,0.0117,0,0.0221,0.0242,0.4777,0.1059,0.0022,2.8614,0.1248,0.0758,0.2107
3.021,0.0116,0,0.0223,0.0252,0.4802,0.1063,0.0032,1.9644,0.1247,0.072,0.2111
1.0765,0.0121,0,0.0231,0.0257,0.4811,0.1066,0.0031,0.0113,0.1249,0.0774,0.2112
1.0771,0.0113,0,0.023,0.0257,0.4858,0.1062,0.0023,0.0112,0.1244,0.0764,0.2108
1.074,0.0113,0,0.023,0.0255,0.4844,0.1059,0.0018,0.0111,0.1242,0.0762,0.2106
1.072,0.0116,0,0.0231,0.0255,0.4805,0.1056,0.0028,0.0109,0.1236,0.0775,0.2109
1.0706,0.012,0,0.0225,0.0256,0.4796,0.1058,0.0018,0.0109,0.1238,0.0775,0.2111
1.0695,0.0111,0,0.023,0.0255,0.4796,0.1058,0.0013,0.0097,0.1235,0.0791,0.2109
1.3384,0.0121,0,0.0228,0.2828,0.4794,0.1059,0.0023,0.0105,0.1312,0.0805,0.2109
1.6534,0.0119,0,0.0225,0.6498,0.4777,0.1059,0.0023,0.0099,0.083,0.0791,0.2113
1.6717,0.0123,0,0.0227,0.6677,0.4829,0.1062,0.0024,0.01,0.0788,0.0782,0.2105
1.7692,0.0114,0,0.0226,0.6689,0.477,0.1061,0.0025,0.0108,0.1794,0.0795,0.211
1.8954,0.0116,0,0.0228,0.801,0.4823,0.1064,0.0021,0.0102,0.1692,0.0789,0.2109
1.943,0.0116,0,0.0226,0.848,0.4818,0.1062,0.0027,0.0099,0.1712,0.0776,0.2114
2.051,0.0124,0,0.0226,0.9462,0.4866,0.1057,0.0036,0.0102,0.1757,0.0767,0.2113
2.1342,0.0113,0,0.0226,1.0522,0.4766,0.1061,0.0018,0.0098,0.1661,0.0768,0.2109
2.1335,0.012,0,0.0225,1.0542,0.4682,0.106,0.0028,0.0104,0.1676,0.0784,0.2114
2.154,0.0121,0,0.0225,1.0614,0.479,0.1061,0.0025,0.0103,0.1741,0.075,0.211
2.1638,0.0122,0,0.0225,1.0689,0.4726,0.1062,0.0032,0.0104,0.1787,0.0779,0.2112
2.178,0.0122,0,0.0229,1.0759,0.4763,0.1063,0.003,0.0099,0.1787,0.082,0.2108
2.1724,0.0117,0,0.0228,1.066,0.4737,0.1066,0.002,0.0103,0.1906,0.0777,0.211
2.1603,0.0122,0,0.0226,1.0597,0.4686,0.1064,0.0025,0.0095,0.1939,0.074,0.2109
2.2256,0.0117,0,0.0225,1.1433,0.4657,0.1063,0.0023,0.0096,0.1809,0.0726,0.2107
2.2513,0.0114,0,0.0225,1.1651,0.4731,0.1061,0.0031,0.0096,0.1763,0.0728,0.2113
2.2532,0.0121,0,0.0223,1.1663,0.4835,0.1071,0.0023,0.0099,0.1657,0.0727,0.2113
2.2864,0.012,0,0.0225,1.1721,0.4842,0.1066,0.0023,0.0107,0.1838,0.0806,0.2116
2.2838,0.0112,0,0.0225,1.1563,0.4777,0.1065,0.0031,0.0096,0.2007,0.0846,0.2116
2.2857,0.0119,0,0.0228,1.1593,0.4771,0.1065,0.0032,0.011,0.2001,0.082,0.2118
2.2767,0.012,0,0.0227,1.157,0.4731,0.1068,0.0024,0.0108,0.2035,0.0766,0.2118
2.2907,0.0112,0,0.0226,1.1571,0.4852,0.1062,0.0026,0.0099,0.2042,0.0806,0.2111
2.2837,0.0121,0,0.0229,1.1503,0.4863,0.1067,0.0025,0.0101,0.2009,0.0805,0.2114
2.2495,0.0117,0,0.0227,1.1468,0.4831,0.1068,0.0028,0.009,0.1764,0.0792,0.211
2.2375,0.012,0,0.0226,1.1518,0.4823,0.1067,0.0023,0.011,0.1604,0.0772,0.2112
2.3553,0.0123,0,0.0224,1.1348,0.4702,0.1066,0.0018,0.0101,0.1596,0.0762,0.3613
2.6523,0.0124,0,0.0223,1.1336,0.4316,0.1066,0.004,0.0113,0.1573,0.0775,0.6957
2.4182,0.0122,0,0.0214,1.1374,0.3764,0.1065,0.005,0.0108,0.1584,0.0725,0.5176
2.1229,0.0121,0,0.0217,1.1408,0.3786,0.1065,0.0022,0.01,0.163,0.0767,0.2113
2.1174,0.0124,0,0.0214,1.1401,0.3751,0.1063,0.0031,0.0095,0.159,0.0791,0.2114
2.0744,0.0119,0,0.0215,1.0913,0.3787,0.1055,0.0034,0.0102,0.1613,0.079,0.2116
1.9757,0.0112,0,0.0217,0.9914,0.3767,0.1059,0.0016,0.0099,0.1673,0.0787,0.2113
1.8468,0.0119,0,0.0217,0.8783,0.3772,0.106,0.0029,0.0096,0.1589,0.0688,0.2115
1.7899,0.0118,0,0.0215,0.8131,0.3805,0.106,0.0022,0.0098,0.1655,0.0681,0.2114
1.7066,0.0119,0,0.0216,0.736,0.3765,0.1059,0.0031,0.0091,0.1625,0.0686,0.2114
1.6321,0.0117,0,0.0215,0.6614,0.3763,0.1061,0.0025,0.0101,0.1623,0.0685,0.2117
1.5711,0.0114,0,0.0218,0.5971,0.3767,0.1062,0.0024,0.0102,0.1645,0.0689,0.2119
1.5458,0.0118,0,0.0215,0.5738,0.3782,0.1063,0.0019,0.0106,0.1611,0.0688,0.2118
1.5582,0.0117,0,0.0217,0.5793,0.3805,0.1065,0.0037,0.01,0.1625,0.0704,0.2119
1.559,0.0112,0,0.0217,0.5824,0.3801,0.1062,0.0027,0.011,0.1569,0.0755,0.2113
1.5564,0.0114,0,0.0217,0.5809,0.379,0.1062,0.0036,0.0102,0.1576,0.0742,0.2116
