Consumo_T,Corriente_R,Corriente_V
0.391274631,0.054809988,0.336464643
0.397547975,0.059211507,0.338336468
0.398610208,0.060543243,0.338066965
0.398105212,0.060265847,0.337839365
0.398358673,0.060519308,0.337839365
0.398770727,0.059166409,0.339604318
0.396932729,0.059166409,0.33776632
0.393770982,0.059727509,0.334043473
0.39537238,0.059062708,0.336309671
0.394471787,0.057800435,0.336671352
0.392446045,0.055774692,0.336671352
0.38947681,0.055774692,0.333702117
0.391276009,0.057912804,0.333363205
0.393339653,0.05779,0.335549653
0.393466838,0.058384575,0.335082263
0.389369283,0.05428702,0.335082263
0.390841011,0.05428702,0.336553991
0.394173391,0.05648727,0.337686121
0.394705143,0.056078549,0.338626593
0.396360401,0.058423553,0.337936848
0.395074993,0.057138145,0.337936848
0.392927393,0.057197765,0.335729629
0.394455478,0.057197765,0.337257713
0.39336466,0.057598166,0.335766494
0.38747561,0.057349533,0.330126077
0.382609986,0.054954879,0.327655107
0.383808117,0.056153011,0.327655107
0.382199626,0.056153011,0.326046616
0.384255745,0.058096804,0.326158941
0.387306988,0.059297472,0.328009516
0.385693595,0.05748646,0.328207135
0.381548058,0.053340923,0.328207135
0.384539522,0.056161113,0.328378409
0.384800114,0.056161113,0.328639001
0.386172779,0.056920029,0.32925275
0.388878737,0.057939921,0.330938816
